Damage class,Flood depth [m],EUROPE,North AMERICA,"Centr&South
AMERICA",ASIA,AFRICA,OCEANIA,GLOBAL
Residential buildings,0,0,0.2,0,0,0,0,-
,0.5,0.25,0.44,0.49,0.33,0.22,0.48,-
,1,0.4,0.58,0.71,0.49,0.38,0.64,-
,1.5,0.5,0.68,0.84,0.62,0.53,0.71,-
,2,0.6,0.78,0.95,0.72,0.64,0.79,-
,3,0.75,0.85,0.98,0.87,0.82,0.93,-
,4,0.85,0.92,1,0.93,0.9,0.97,-
,5,0.95,0.96,1,0.98,0.96,0.98,-
,6,1,1,1,1,1,1,-
Commercial buildings,0,0,0.02,0,0,-,0,0
,0.5,0.15,0.24,0.61,0.38,-,0.24,0.32
,1,0.3,0.37,0.84,0.54,-,0.48,0.51
,1.5,0.45,0.47,0.92,0.66,-,0.67,0.63
,2,0.55,0.55,0.99,0.76,-,0.86,0.74
,3,0.75,0.69,1,0.88,-,1,0.86
,4,0.9,0.82,1,0.94,-,1,0.93
,5,1,0.91,1,0.98,-,1,0.98
,6,1,1,1,1,-,1,1
Industrial buildings,0,0,0.03,0,0,0,-,0
,0.5,0.15,0.32,0.67,0.28,0.06,-,0.3
,1,0.27,0.51,0.89,0.48,0.25,-,0.48
,1.5,0.4,0.64,0.95,0.63,0.4,-,0.6
,2,0.52,0.74,1,0.72,0.49,-,0.69
,3,0.7,0.86,1,0.86,0.68,-,0.82
,4,0.85,0.94,1,0.91,0.92,-,0.92
,5,1,0.98,1,0.96,1,-,0.99
,6,1,1,1,1,1,-,1
Transport,0,0,-,0,0,-,-,0
,0.5,0.32,-,0.09,0.36,-,-,0.25
,1,0.54,-,0.18,0.57,-,-,0.43
,1.5,0.7,-,0.6,0.73,-,-,0.68
,2,0.83,-,0.84,0.85,-,-,0.84
,3,1,-,1,1,-,-,1
,4,1,-,1,1,-,-,1
,5,1,-,1,1,-,-,1
,6,1,-,1,1,-,-,1
Infrastructure - roads,0,0,-,-,0,-,-,0
,0.5,0.25,-,-,0.21,-,-,0.23
,1,0.42,-,-,0.37,-,-,0.4
,1.5,0.55,-,-,0.6,-,-,0.58
,2,0.65,-,-,0.71,-,-,0.68
,3,0.8,-,-,0.81,-,-,0.8
,4,0.9,-,-,0.89,-,-,0.89
,5,1,-,-,0.97,-,-,0.98
,6,1,-,-,1,-,-,1
Agriculture,0,0,0.02,-,0,0,-,0
,0.5,0.3,0.27,-,0.14,0.24,-,0.24
,1,0.55,0.47,-,0.37,0.47,-,0.47
,1.5,0.65,0.55,-,0.52,0.74,-,0.62
,2,0.75,0.6,-,0.56,0.92,-,0.71
,3,0.85,0.76,-,0.66,1,-,0.82
,4,0.95,0.87,-,0.83,1,-,0.91
,5,1,0.95,-,0.99,1,-,0.99
,6,1,1,-,1,1,-,1
